query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg
q49.sql,bfefd1e1,7,"0,6,7,11",10,4.562,70.96,34,ok,
q50.sql,a64ae113,4,"2,6,10,22",4,41.494,84.67,6,ok,
q51.sql,ca9a33c4,3,"0,5,10",2,11.54,930.88,100,ok,
q52.sql,fef99927,3,"2,10,13",2,39.356,48.84,100,ok,
q53.sql,4fcdc51b,5,"0,2,10,22",5,38.923,54.25,100,ok,
q54.sql,5e665569,7,"0,8,10,13",7,3.543,73.1,1,ok,
q55.sql,4e0c7d12,3,"2,10,13",2,39.356,34.06,100,ok,
q56.sql,6dd68dd0,4,"2,10,12,13",3,40.106,67.92,100,ok,
q57.sql,4eac91fd,4,"0,4,10,13",3,22.101,186.09,100,ok,
q58.sql,32790145,3,"2,10,13",2,39.356,60.57,5,ok,
q59.sql,67c72667,2,"2,10",1,38.906,257.35,100,ok,
q60.sql,997f4dd6,4,"2,10,12,13",3,40.106,58.29,100,ok,
q61.sql,8b3d981a,6,"8,10,12,13,16,22",6,4.27,51.18,1,ok,
q62.sql,5f3724b7,4,"5,10,19,21",7,11.533,39.37,100,ok,
q63.sql,bf227242,5,"0,2,10,22",5,38.923,43.19,100,ok,
q64.sql,46987dd5,2,"4,7",1,21.478,249.0,2,ok,
q65.sql,8952e8bd,6,"0,10,13,22",6,1.935,150.07,100,ok,
q66.sql,423525a9,12,"0,9,10,21,23",36,2.044,79.7,5,ok,
q67.sql,0cbfdead,9,0,9,0.072,2782.33,100,ok,
q68.sql,e0824137,7,"0,10,12,15,22",9,2.264,203.71,100,ok,
q69.sql,1df874b1,3,"3,8,12",2,13.875,194.66,100,ok,
q70.sql,bcc81853,3,"2,10,22",2,38.907,267.0,3,ok,
q71.sql,772da69d,5,"0,10,13",5,1.935,113.35,1031,ok,
q72.sql,b1fdff69,9,"1,3,4,7,10,13,15,16,23",10,70.187,229.76,100,ok,
q73.sql,e7145f81,5,"0,10,15,22",5,1.506,116.86,1,ok,
q74.sql,95d94181,3,"2,8,10",2,40.506,775.8,92,ok,
q75.sql,10f55291,11,"0,6,7,10,11,13",17,6.489,477.77,100,ok,
q76.sql,bc811bf0,6,"0,10,13",7,1.943,96.49,100,ok,
q77.sql,5ce80a06,5,"0,2,10,22",4,38.923,76.95,44,ok,
q78.sql,64b7f7e7,7,"0,5,6,7,10,11",8,16.078,695.5,100,ok,
q79.sql,146de5ce,5,"0,10,15,22",7,1.506,118.79,100,ok,
q80.sql,070a85f4,4,"2,6,7,11",3,41.975,134.04,100,ok,
q81.sql,e89b021a,3,"7,10,12",2,3.508,96.34,100,ok,
q82.sql,4713f85f,4,"1,2,10,13",3,74.591,24.26,2,ok,
q83.sql,5a0e1825,3,"6,10,13",2,4.499,27.2,24,ok,
q84.sql,7a99d437,6,"3,6,8,12,15,20",5,16.491,45.26,16,ok,
q85.sql,29dba323,7,"3,5,10,11,12,17,18",7,24.454,121.63,1,ok,
q86.sql,55ac95df,3,"5,10,13",2,11.982,60.29,100,ok,
q87.sql,4b6c2657,4,"0,8,10",4,3.077,279.33,1,ok,
q88.sql,281b9b71,3,"9,15,22",3,0.548,266.36,1,ok,
q89.sql,c94f5641,10,"0,2,10,22",13,38.963,137.46,100,ok,
q90.sql,3adf7b05,3,"9,15,17",3,0.548,35.9,1,ok,
q91.sql,6363c057,7,"0,3,7,8,10,12,15",6,16.669,89.66,2,ok,
q92.sql,c48683e7,3,"5,10,13",2,11.982,62.49,1,ok,
q93.sql,406abffe,4,"0,6",4,2.612,253.13,100,ok,
q94.sql,0d30ba56,4,"5,10,12,19",3,12.283,50.02,1,ok,
q95.sql,37e2298f,1,5,1,10.071,967.97,1,ok,
q96.sql,b5000cb8,4,"2,9,15,22",3,37.993,48.9,1,ok,
q97.sql,011c8c0c,3,"0,2,10",2,38.914,351.48,1,ok,
q98.sql,068bddc8,3,"2,10,13",2,39.356,154.5,2521,ok,
q99.sql,13a10ce8,4,"0,4,10,21",7,21.651,153.75,90,ok,
